module_run_id,module,browser_engine,run_number,start_time,end_time,duration_seconds,total_stages,completed_stages,failed_stages,recoverable_errors,unrecoverable_errors,console_error_count,network_error_count,missing_asset_count,reset_success,final_state_reached,overall_result,notes,partial_pass_stages,not_reached_stages,environment_failure_stages,last_completed_stage,failure_origin,cpu_avg_percent,cpu_max_percent,renderer_geometries_first,renderer_geometries_last,renderer_textures_first,renderer_textures_last,renderer_programs_first,renderer_programs_last,heap_mb_first,heap_mb_last,screenshot_path,cpu_samples_path
DS_firefox_run1,Drilled Shaft Foundation,firefox,1,2026-07-19T16:11:13.828Z,2026-07-19T16:13:36.299Z,142.5,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,57,75.4,179,1087,14,20,9,11,,,screenshots/firefox/DS-final_firefox_run1_completed.png,logs/cpu-samples/DS_firefox_run1.json
DS_firefox_run2,Drilled Shaft Foundation,firefox,2,2026-07-19T16:13:36.601Z,2026-07-19T16:15:58.850Z,142.2,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,57.1,71.6,179,1096,14,20,9,11,,,screenshots/firefox/DS-final_firefox_run2_completed.png,logs/cpu-samples/DS_firefox_run2.json
DS_firefox_run3,Drilled Shaft Foundation,firefox,3,2026-07-19T16:15:59.120Z,2026-07-19T16:18:20.917Z,141.8,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,55.2,68.7,179,1084,14,20,9,11,,,screenshots/firefox/DS-final_firefox_run3_completed.png,logs/cpu-samples/DS_firefox_run3.json
DP_firefox_run1,Driven Pile Foundation,firefox,1,2026-07-19T16:18:21.202Z,2026-07-19T16:21:02.004Z,160.8,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,56.8,71.6,179,1201,14,20,9,11,,,screenshots/firefox/DP-final_firefox_run1_completed.png,logs/cpu-samples/DP_firefox_run1.json
DP_firefox_run2,Driven Pile Foundation,firefox,2,2026-07-19T16:21:02.321Z,2026-07-19T16:23:44.871Z,162.6,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,72.9,113.2,179,1207,14,20,9,11,,,screenshots/firefox/DP-final_firefox_run2_completed.png,logs/cpu-samples/DP_firefox_run2.json
DP_firefox_run3,Driven Pile Foundation,firefox,3,2026-07-19T16:23:45.200Z,2026-07-19T16:26:30.534Z,165.3,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,88,107.1,179,1204,14,20,9,11,,,screenshots/firefox/DP-final_firefox_run3_completed.png,logs/cpu-samples/DP_firefox_run3.json
SF_firefox_run1,Shallow Foundation,firefox,1,2026-07-19T16:26:42.119Z,2026-07-19T16:28:17.274Z,95.2,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,80.5,100.2,27,881,2,7,5,8,,,screenshots/firefox/SF-final_firefox_run1_completed.png,logs/cpu-samples/SF_firefox_run1.json
SF_firefox_run2,Shallow Foundation,firefox,2,2026-07-19T16:28:17.546Z,2026-07-19T16:29:53.058Z,95.5,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,78.7,102,27,881,2,7,5,8,,,screenshots/firefox/SF-final_firefox_run2_completed.png,logs/cpu-samples/SF_firefox_run2.json
SF_firefox_run3,Shallow Foundation,firefox,3,2026-07-19T16:29:53.329Z,2026-07-19T16:31:28.519Z,95.2,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,80.4,101,27,878,2,7,5,8,,,screenshots/firefox/SF-final_firefox_run3_completed.png,logs/cpu-samples/SF_firefox_run3.json
