measurement_id,module,stage_id,stage_title,browser_engine,run_number,page_load_ms,module_load_ms,time_to_interactive_ms,average_fps,minimum_fps,maximum_fps,interaction_response_ms,heap_memory_mb,failed_requests,console_warnings,console_errors,measurement_method,limitations
SF-01_firefox_perf,Shallow Foundation,SF-01,First stage (low-complexity: site/soil assessment),firefox,1,196,196,91,70.3,57.2,1923.1,382,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
DP-01_firefox_perf,Driven Pile Foundation,DP-01,First stage (low-complexity: site investigation),firefox,1,133,133,86,61.6,58.3,352.1,319,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
DS-01_firefox_perf,Drilled Shaft Foundation,DS-01,First stage (low-complexity: site investigation),firefox,1,143,143,97,60.3,57.8,118.8,318,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
