measurement_id,module,stage_id,stage_title,browser_engine,run_number,page_load_ms,module_load_ms,time_to_interactive_ms,average_fps,minimum_fps,maximum_fps,interaction_response_ms,heap_memory_mb,failed_requests,console_warnings,console_errors,measurement_method,limitations
SF-01_webkit_perf,Shallow Foundation,SF-01,First stage (low-complexity: site/soil assessment),webkit,1,169,169,74,82.9,29.4,500.0,310,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
DP-01_webkit_perf,Driven Pile Foundation,DP-01,First stage (low-complexity: site investigation),webkit,1,84,84,43,75.5,30.3,200.0,309,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
DS-01_webkit_perf,Drilled Shaft Foundation,DS-01,First stage (low-complexity: site investigation),webkit,1,84,84,44,75.7,27.8,250.0,320,NOT SUPPORTED BY BROWSER,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).","JS heap size not exposed by this browser engine (performance.memory is a non-standard, Chromium-only API)."
