module_run_id,module,browser_engine,run_number,start_time,end_time,duration_seconds,total_stages,completed_stages,failed_stages,recoverable_errors,unrecoverable_errors,console_error_count,network_error_count,missing_asset_count,reset_success,final_state_reached,overall_result,notes,partial_pass_stages,not_reached_stages,environment_failure_stages,last_completed_stage,failure_origin,cpu_avg_percent,cpu_max_percent,renderer_geometries_first,renderer_geometries_last,renderer_textures_first,renderer_textures_last,renderer_programs_first,renderer_programs_last,heap_mb_first,heap_mb_last,screenshot_path,cpu_samples_path
DS_webkit_run1,Drilled Shaft Foundation,webkit,1,2026-07-19T16:32:23.812Z,2026-07-19T16:34:42.464Z,138.7,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,48,61.2,179,1090,14,20,9,11,,,screenshots/webkit/DS-final_webkit_run1_completed.png,logs/cpu-samples/DS_webkit_run1.json
DS_webkit_run2,Drilled Shaft Foundation,webkit,2,2026-07-19T16:34:43.118Z,2026-07-19T16:36:58.851Z,135.7,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,46.7,63.2,179,1066,14,20,9,11,,,screenshots/webkit/DS-final_webkit_run2_completed.png,logs/cpu-samples/DS_webkit_run2.json
DS_webkit_run3,Drilled Shaft Foundation,webkit,3,2026-07-19T16:36:59.292Z,2026-07-19T16:39:15.277Z,136.0,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,37.4,52.1,179,1081,14,20,9,11,,,screenshots/webkit/DS-final_webkit_run3_completed.png,logs/cpu-samples/DS_webkit_run3.json
DP_webkit_run1,Driven Pile Foundation,webkit,1,2026-07-19T16:39:15.700Z,2026-07-19T16:41:46.073Z,150.4,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,37.2,56.1,179,1208,14,20,9,11,,,screenshots/webkit/DP-final_webkit_run1_completed.png,logs/cpu-samples/DP_webkit_run1.json
DP_webkit_run2,Driven Pile Foundation,webkit,2,2026-07-19T16:41:46.462Z,2026-07-19T16:44:22.391Z,155.9,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,36.9,56.6,179,1216,14,20,9,11,,,screenshots/webkit/DP-final_webkit_run2_completed.png,logs/cpu-samples/DP_webkit_run2.json
DP_webkit_run3,Driven Pile Foundation,webkit,3,2026-07-19T16:44:22.794Z,2026-07-19T16:46:57.215Z,154.4,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,37.1,61.9,179,1201,14,20,9,11,,,screenshots/webkit/DP-final_webkit_run3_completed.png,logs/cpu-samples/DP_webkit_run3.json
SF_webkit_run1,Shallow Foundation,webkit,1,2026-07-19T16:47:08.690Z,2026-07-19T16:48:41.453Z,92.8,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,36.1,53.2,27,881,2,7,5,8,,,screenshots/webkit/SF-final_webkit_run1_completed.png,logs/cpu-samples/SF_webkit_run1.json
SF_webkit_run2,Shallow Foundation,webkit,2,2026-07-19T16:48:41.876Z,2026-07-19T16:50:14.551Z,92.7,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,38.4,55,27,880,2,7,5,8,,,screenshots/webkit/SF-final_webkit_run2_completed.png,logs/cpu-samples/SF_webkit_run2.json
SF_webkit_run3,Shallow Foundation,webkit,3,2026-07-19T16:50:15.004Z,2026-07-19T16:51:47.954Z,93.0,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,38.2,53.2,27,877,2,7,5,8,,,screenshots/webkit/SF-final_webkit_run3_completed.png,logs/cpu-samples/SF_webkit_run3.json
