module_run_id,module,browser_engine,run_number,start_time,end_time,duration_seconds,total_stages,completed_stages,failed_stages,recoverable_errors,unrecoverable_errors,console_error_count,network_error_count,missing_asset_count,reset_success,final_state_reached,overall_result,notes,partial_pass_stages,not_reached_stages,environment_failure_stages,last_completed_stage,failure_origin,cpu_avg_percent,cpu_max_percent,renderer_geometries_first,renderer_geometries_last,renderer_textures_first,renderer_textures_last,renderer_programs_first,renderer_programs_last,heap_mb_first,heap_mb_last,screenshot_path,cpu_samples_path
DS_chromium_run1,Drilled Shaft Foundation,chromium,1,2026-07-19T15:44:26.239Z,2026-07-19T15:47:53.811Z,207.6,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,603.1,680.6,179,1090,14,20,9,11,9.5,9.5,screenshots/chromium/DS-final_chromium_run1_completed.png,logs/cpu-samples/DS_chromium_run1.json
DS_chromium_run2,Drilled Shaft Foundation,chromium,2,2026-07-19T15:47:54.778Z,2026-07-19T15:51:38.333Z,223.6,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,604,670.6,179,1078,14,20,9,11,9.5,9.5,screenshots/chromium/DS-final_chromium_run2_completed.png,logs/cpu-samples/DS_chromium_run2.json
DS_chromium_run3,Drilled Shaft Foundation,chromium,3,2026-07-19T15:51:39.283Z,2026-07-19T15:55:11.698Z,212.4,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,603.1,668.4,179,1109,14,20,9,11,10.1,10.1,screenshots/chromium/DS-final_chromium_run3_completed.png,logs/cpu-samples/DS_chromium_run3.json
DP_chromium_run1,Driven Pile Foundation,chromium,1,2026-07-19T15:55:12.643Z,2026-07-19T15:58:59.488Z,226.8,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,589.8,663.5,179,1198,14,20,9,11,12.1,12.1,screenshots/chromium/DP-final_chromium_run1_completed.png,logs/cpu-samples/DP_chromium_run1.json
DP_chromium_run2,Driven Pile Foundation,chromium,2,2026-07-19T15:59:00.432Z,2026-07-19T15:59:26.441Z,26.0,15,0,1,0,1,0,0,0,NOT MEASURED IN THIS RUN,NO,FAIL,0 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,14,0,,AUTOMATION_DRIVER,601.1,626.8,170,170,14,14,7,7,12.1,12.1,screenshots/chromium/DP-incomplete_chromium_run2_failure.png,logs/cpu-samples/DP_chromium_run2.json
DP_chromium_run3,Driven Pile Foundation,chromium,3,2026-07-19T15:59:27.253Z,2026-07-19T16:03:14.015Z,226.8,15,15,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,15 of 15 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,14,NONE,593.6,681.4,179,1201,14,20,9,11,10.7,10.7,screenshots/chromium/DP-final_chromium_run3_completed.png,logs/cpu-samples/DP_chromium_run3.json
SF_chromium_run1,Shallow Foundation,chromium,1,2026-07-19T16:03:28.287Z,2026-07-19T16:06:07.964Z,159.7,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,612.4,662.8,27,896,2,7,5,8,9.5,9.5,screenshots/chromium/SF-final_chromium_run1_completed.png,logs/cpu-samples/SF_chromium_run1.json
SF_chromium_run2,Shallow Foundation,chromium,2,2026-07-19T16:06:08.715Z,2026-07-19T16:08:49.249Z,160.5,11,11,0,0,0,0,0,0,NOT MEASURED IN THIS RUN,YES,PASS,11 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,0,0,10,NONE,612.2,670.8,27,898,2,7,5,8,9.5,9.5,screenshots/chromium/SF-final_chromium_run2_completed.png,logs/cpu-samples/SF_chromium_run2.json
SF_chromium_run3,Shallow Foundation,chromium,3,2026-07-19T16:08:50.003Z,2026-07-19T16:09:10.512Z,20.5,11,1,1,0,1,0,0,0,NOT MEASURED IN THIS RUN,NO,PARTIAL PASS,1 of 11 declared stage(s) PASS in STEP_HANDLERS.,0,9,0,0,AUTOMATION_DRIVER,479.5,507,27,27,2,2,5,5,9.5,9.5,screenshots/chromium/SF-incomplete_chromium_run3_failure.png,logs/cpu-samples/SF_chromium_run3.json
