measurement_id,module,stage_id,stage_title,browser_engine,run_number,page_load_ms,module_load_ms,time_to_interactive_ms,average_fps,minimum_fps,maximum_fps,interaction_response_ms,heap_memory_mb,failed_requests,console_warnings,console_errors,measurement_method,limitations
SF-01_chromium_perf,Shallow Foundation,SF-01,First stage (low-complexity: site/soil assessment),chromium,1,889,889,38,60.9,30.0,238.1,320,9.5,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).",
DP-01_chromium_perf,Driven Pile Foundation,DP-01,First stage (low-complexity: site investigation),chromium,1,91,91,40,51.9,28.7,68.0,1047,9.5,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).",
DS-01_chromium_perf,Drilled Shaft Foundation,DS-01,First stage (low-complexity: site investigation),chromium,1,92,92,38,53.3,28.4,68.0,1027,9.5,0,1,0,"page_load_ms via Date.now() delta around page.goto(); time_to_interactive_ms via PerformanceNavigationTiming.domInteractive; FPS via requestAnimationFrame delta sampling over 3000ms; heap via performance.memory.usedJSHeapSize where supported (Chromium only, non-standard API).",
